Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
7;CRONICAS DE NARNIA. EL LEON, LA BRUJA Y EL ARMARIO;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;13359603,77;2005;6,27;6,7;0,88
8;HARRY POTTER Y EL MISTERIO DEL PRINCIPE;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;13971647,58;2009;6;7,4;0,83
6;MOMIA. LA TUMBA DEL EMPERADOR DRAGON, LA;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;12176922,96;2008;5,01;5,2;0,8
12;ALEJANDRO MAGNO;REINO UNIDO;TRIPICTURES S.A.;11089138,3465;2005;5,21;5,6;0,79
12;MIB II - MEN IN BLACK II (HOMBRES DE NEGRO II);ESTADOS UNIDOS;COLUMBIA TRI-STAR FILMS DE ESPAÑA S.A,;10953644,96;2002;6,05;6,1;0,76
8;ENREDADOS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;13683334,96;2011;5,98;7,4;0,69
9;ESCUADRON SUICIDA;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;11141826,94;2016;4,62;5,9;0,69
11;LIGA DE LOS HOMBRES EXTRAORDINARIOS, LA;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;10720216,94;2003;5,64;5,7;0,69
10;SR. Y SRA. SMITH;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;12608790,45;2005;5,92;6,5;0,65
6;ZOOTROPOLIS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;13665599,35;2016;5,67;7,7;0,63
11;SEÑALES;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;10989614;2002;6,07;6,4;0,600000000000001
4;MAMMA MIA!;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;13451570,31;2008;5,54;6,4;0,6
4;GUERRA MUNDIAL Z;ESTADOS UNIDOS;PARAMOUNT SPAIN, S.L.;11883891,85;2013;5,28;6,7;0,59
5;MADAGASCAR 2;ESTADOS UNIDOS;PARAMOUNT SPAIN S.L.;13088984,98;2008;5,39;6,2;0,569999999999999
7;HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE - PARTE;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;13129082,71;2010;5,66;7,5;0,52
4;AMANECER DEL PLANETA DE LOS SIMIOS, EL;ESTADOS UNIDOS;HISPANO FOX FILM S.A.;12415674,94;2014;5,45;7,3;0,48
6;JUEGOS DEL HAMBRE: SINSAJO - PARTE 1, LOS;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;11360255,37;2014;4,99;6,6;0,45
9;OTRO LADO DE LA CAMA, EL;ESPAÑA;THE WALT DISNEY COMPANY IBERIA,S.L.;12172898,07;2002;6,73;6,3;0,420000000000001
3;KUNG FU PANDA;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;13720895,09;2008;5,65;6,9;0,4
12;TED;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;11051464,44;2012;4,9;6,3;0,37
10;UNA MENTE MARAVILLOSA;ESTADOS UNIDOS;UNITED INTERNATIONAL PICTURES S.L.;12000508,26;2002;6,63;7,7;0,36
10;MATRIX REVOLUTIONS;ESTADOS UNIDOS;WARNER SOGEFILMS A.I.E.;10882604,37;2003;5,73;6,4;0,350000000000001
13;BATMAN V SUPERMAN: EL AMANECER DE LA JUSTICIA;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;9998320,71;2016;4,15;5,7;0,34
12;REY ARTURO, EL;REINO UNIDO;THE WALT DISNEY COMPANY IBERIA,S.L.;10321676,61;2004;5,14;6,1;0,33
8;VENGADORES: LA ERA DE ULTRON;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;12076545,76;2015;5,18;7,3;0,3
5;CARS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;12580151,02;2006;5,54;6,6;0,3
9;NOCHE EN EL MUSEO;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;12711395,15;2007;5,32;6,4;0,29
10;CARS 2;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;10508944,66;2011;4,59;5,8;0,28
8;RATATOUILLE;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;14305704,98;2007;5,99;7,5;0,28
11;PITUFOS 2, LOS;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;9500114,63;2013;4,22;5,5;0,27
10;CABALLERO OSCURO LA LEYENDA RENACE, EL;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;11936954,6;2012;5,29;7,6;0,26
9;LUCY;FRANCIA;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;9625555,28;2014;4,23;6,3;0,210000000000001
11;PASION DE CRISTO, LA;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;11651298,18;2004;5,8;6,9;0,2
12;JUEGOS DEL HAMBRE: SINSAJO - PARTE 2, LOS;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;10807133,8;2015;4,64;6,6;0,19
11;SHERLOCK HOLMES;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;10148694,6;2010;4,37;5,5;0,16
13;MINORITY REPORT;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;10947292,39;2002;6,05;7,1;0,149999999999999
10;ROBIN HOOD;REINO UNIDO;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;10401327,72;2010;4,48;6,2;0,140000000000001
11;HOTEL TRANSILVANIA 2;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;10818733,3;2015;4,64;6,7;0,13
6;MONSTRUOS UNIVERSITY;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;11241002,08;2013;4,99;7;0,12
11;HOTEL TRANSILVANIA;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;11180427,38;2012;4,96;6,8;0,12
10;BRUJULA DORADA, LA;REINO UNIDO;TRIPICTURES S.A.;10677615,35;2007;4,47;5,8;0,109999999999999
8;TORRENTE 5;ESPAÑA;SONY PICTURES RELEASING DE ESPAÑA S.A.;10592908,26;2014;4,65;5,2;0,0800000000000001
22;HORAS, LAS;ESTADOS UNIDOS;LAURENFILM, SOCIEDAD ANONIMA;6742782,29;2003;3,55;3,3;0,0699999999999998
16;BLANCANIEVES Y LA LEYENDA DEL CAZADOR;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;9580256,54;2012;4,25;5,8;0,0300000000000002
14;BLADE II;ESTADOS UNIDOS;TRIPICTURES S.A.;9730024,01;2002;5,38;6,2;0,0300000000000002
5;FROZEN. EL REINO DEL HIELO;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;11408681,72;2013;5,07;7,3;0,0100000000000007
17;HOMBRE DE ACERO, EL;CANADÁ;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;7484904,78;2013;3,32;6,5;0
16;MILLENNIUM 1: LOS HOMBRES QUE NO AMABAN A LAS MUJE;SUECIA;VERTIGO FILMS S.L;9245147,82;2009;3,97;7,4;0
15;MUERE OTRO DIA;REINO UNIDO;HISPANO FOXFILM S.A.E;8680867,56;2002;4,8;5,8;0
13;SKYFALL;REINO UNIDO;SONY PICTURES RELEASING DE ESPAÑA S.A.;10347804,56;2012;4,59;6,9;-0,00999999999999979
14;MADAGASCAR 3: DE MARCHA POR EUROPA;ESTADOS UNIDOS;PARAMOUNT SPAIN, S.L.;10283841,88;2012;4,56;6,4;-0,0300000000000002
15;PROMETHEUS;ESTADOS UNIDOS;HISPANO FOX FILM S.A.;10100378,3;2012;4,48;6,3;-0,0499999999999998
8;DIAS DE FUTBOL;ESPAÑA;THE WALT DISNEY COMPANY IBERIA,S.L.;11617115,23;2003;6,11;6,2;-0,0499999999999998
14;VAN HELSING;ESTADOS UNIDOS;UNITED INTERNATIONAL PICTURES S.L.;10032793,62;2004;4,99;6;-0,0599999999999996
9;MILLION DOLLAR BABY;ESTADOS UNIDOS;SOC. GRAL. DE DERECHOS AUDIOVISUALES S.A.;12620399,54;2005;5,93;7,7;-0,0800000000000001
10;ATRAPA LA BANDERA;ESPAÑA;PARAMOUNT SPAIN, S.L.;10960609,63;2015;4,7;5,7;-0,0899999999999999
5;LOBO DE WALL STREET, EL;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;11930433,92;2014;5,24;7,9;-0,0999999999999996
13;BOSQUE (THE VILLAGE), EL;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;10157009,52;2004;5,05;6,2;-0,12
15;MAS ALLA DE LA VIDA;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;9544528,47;2011;4,17;5,8;-0,14
10;CURIOSO CASO DE BENJAMIN BUTTON, EL;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;12193845,65;2009;5,23;7,3;-0,18
12;RING (LA SEÑAL), THE;ESTADOS UNIDOS;UNITED INTERNATIONAL PICTURES S.L.;9976973,97;2003;5,25;6,5;-0,19
9;GRAN TORINO;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;12777134,5;2009;5,48;7,8;-0,239999999999999
9;TENGO GANAS DE TI;ESPAÑA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;12122051,24;2012;5,37;6,6;-0,24
10;ROGUE ONE;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;11065201,04;2016;4,59;7,4;-0,26
